S.no,States Name,coordinates
1,Andhra Pradesh,92.0 -69.0
2,Arunachal Pradesh,513.0 119.0
3,Assam,436.0 63.0
4,Bihar,136.0 49.0
5,Chhattisgarh,-1.0 -37.0
6,Goa,-343.0 -169.0
7,Gujarat,-418.0 -3.0
8,Haryana,-241.0 128.0
9,Himachal Pradesh,-132.0 151.0
10,Jharkhand,114.0 1.0
11,Karnataka,-259.0 -181.0
12,Kerala,-258.0 -257.0
13,Madhya Pradesh,-166.0 2.0
14,Maharashtra,-284.0 -81.0
15,Manipur,505.0 61.0
16,Meghalaya,420.0 6.0
17,Mizoram,466.0 29.0
18,Nagaland,497.0 54.0
19,Odisha,97.0 -61.0
20,Punjab,-226.0 181.0
21,Rajasthan,-311.0 74.0
22,Sikkim,246.0 90.0
23,Tamil Nadu,-163.0 -249.0
24,Telangana,-172.0 -249.0
25,Tripura,379.0 5.0
26,Uttar Pradesh,-68.0 65.0
27,Uttarakhand,-138.0 149.0
28,West Bengal,224.0 -8.0